"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일"
"118","하니웰애널리틱스","유통/무역/운송",3.3,"[하니웰애널리틱스] System Application Engineer","FAE기술엔지니어IDCSDKC++ 외","경력 4년↑
대학(2,3년)↑","정규직
서울 마포구","입사지원
~ 05/08
"
"119","케이티넥스알","IT/웹/통신",3.3,"[kt넥스알] 프로젝트 PM(빅데이터 시스템 개발 매니저) 채용","데이터분석가데이터엔지니어데이터마이닝데이터시각화빅데이터 외","4 ~ 20년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"120","케이티넥스알","IT/웹/통신",3.3,"[KT NexR] 백엔드 개발자 채용","데이터분석가데이터엔지니어백엔드/서버개발웹개발딥러닝 외","3 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"121","케이티넥스알","IT/웹/통신",3.3,"Data Scientist 채용","데이터분석가웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"122","케이티넥스알","IT/웹/통신",3.3,"[kt NexR] Data Architect 채용","데이터분석가데이터엔지니어웹개발DBASE(시스템엔지니어) 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"123","케이티넥스알","IT/웹/통신",3.3,"[kt NexR] Technical Architect 채용","데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","4 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"124","케이티넥스알","IT/웹/통신",3.3,"[KT NexR] 프론트엔드 개발자 채용","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울 서초구","입사지원
상시채용
"
"125","비투엔","IT/웹/통신",3.3,"2022년 비투엔 상반기 각 부문 공개채용(신입/경력)","데이터분석가데이터엔지니어백엔드/서버개발정보보안프론트엔드 외","신입 · 경력
학력무관","정규직
서울 영등포구","입사지원
내일마감
"
"126","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용 석·박사 특별채용 공고","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
석사↑","정규직
서울 중구","홈페이지 지원
~ 04/13
"
"127","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용 삼성청년 SW아카데미 특별전형","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 중구","홈페이지 지원
~ 04/25
"
"128","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 중구","홈페이지 지원
~ 04/25
"
"129","신한은행","은행/금융업",3.3,"2022년 ICT 특성화고 수시채용","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입
고졸↑","정규직
서울 중구","홈페이지 지원
~ 04/25
"
"130","아슈리온코리아","은행/금융업",3.3,"[외국계] IT Software Engineer","백엔드/서버개발프론트엔드APIS/WCSS3 외","2 ~ 6년
대학교(4년)↑","정규직
서울 종로구","입사지원
~ 05/08
"
"131","유니시티코리아","유통/무역/운송",3.3,"IT 웹 개발자 모집 (Front End Developer)","데이터엔지니어백엔드/서버개발앱개발웹개발웹마스터 외","4 ~ 6년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/17
"
"132","두핸즈","유통/무역/운송",3.2,"[두핸즈] Android Developer(안드로이드 개발자)","앱개발웹개발프론트엔드DBARDBMS 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"133","두핸즈","유통/무역/운송",3.2,"[두핸즈] DevOps Engineer (DevOps 엔지니어)","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"134","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Frontend Software Engineer (시니어 프론트엔드 소프트웨어 엔지니어)","웹개발프론트엔드ECMAScriptJavascriptReact 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"135","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Backend Software Engineer (시니어 백엔드 소프트웨어 엔지니어)","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"136","두핸즈","유통/무역/운송",3.2,"[두핸즈] Data Engineer (데이터 엔지니어)","데이터분석가데이터엔지니어웹개발DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"137","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Full-stack Developer (시니어 풀스택 개발자)","백엔드/서버개발앱개발웹개발퍼블리셔프론트엔드 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
"
"138","딥브레인에이아이","IT/웹/통신",3.2,"[인공지능기업] 머신러닝/딥러닝 엔지니어 채용","웹개발빅데이터AI(인공지능)C++C언어 외","3 ~ 20년
석사↑","정규직
서울 강남구","입사지원
상시채용
"
"139","넛지헬스케어","IT/웹/통신",3.2,"[캐시워크)] QA 엔지니어 채용","QA/테스터APIHTMLiOSR","경력 2년↑
학력무관","정규직
서울 강남구","입사지원
~ 06/05
"
"140","링네트","IT/웹/통신",3.2,"[상암] 네트워크 상주 엔지니어 정규직 채용","기술지원데이터엔지니어유지보수정보보안CISO 외","경력 2년↑
학력무관","정규직
서울 마포구","입사지원
~ 05/08
"
"141","링네트","IT/웹/통신",3.2,"[서초] 네트워크 엔지니어 상주직 채용","기술지원데이터엔지니어유지보수정보보안CISO 외","경력 2년↑
학력무관","정규직 · 계약직
서울 서초구","입사지원
~ 05/29
"
"142","링네트","IT/웹/통신",3.2,"네트워크 엔지니어 신입/경력 채용","기술지원데이터엔지니어유지보수정보보안SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직 · 계약직
서울 구로구","입사지원
~ 04/29
"
"143","미리디","IT/웹/통신",3.2,"[미리캔버스] 백엔드 개발자","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30
"
"144","한국표준협회","교육업",3.2,"22년 2기 인공지능&블록체인 교육생 모집","데이터분석가머신러닝빅데이터AI(인공지능)MySQL 외","경력무관
학력무관","교육생
전국","홈페이지 지원
~ 04/20
"
"145","제이티비씨","미디어/디자인",3.2,"[JTBC] 프론트엔드 개발","웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","3 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
"
"146","제이티비씨","미디어/디자인",3.2,"[JTBC] 모바일 앱 개발(Android)","앱개발웹개발AndroidiOSJava 외","3 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
"
"147","제이티비씨","미디어/디자인",3.2,"[JTBC] 모바일 앱 개발(iOS)","앱개발AndroidiOSObjective-CSwift 외","3 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
"
"148","제이티비씨","미디어/디자인",3.2,"[JTBC] 검색 엔지니어","백엔드/서버개발웹개발SE(시스템엔지니어)검색엔진ElasticStack 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"149","제이티비씨","미디어/디자인",3.2,"[JTBC] 웹 백엔드 개발","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"150","아톤","IT/웹/통신",3.2,"[아톤] 서비스 기획 / 솔루션기획 / 퍼포먼스 마케터 경력 채용","사업기획서비스기획앱기획웹기획전략기획 외","경력 5년↑
대학교(4년)↑","정규직
서울 영등포구","채용 홈페이지
~ 05/01
"
"151","클로버추얼패션","IT/웹/통신",3.2,"[CLO3D] Software QA","QA/테스터Git솔루션C++R","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"152","지에스건설","건설업",3.2,"엘리베이터, 플랫폼, 데이터센터, IT 정규직 경력사원 모집","데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외","경력
대학교(4년)↑","정규직
서울 종로구","홈페이지 지원
~ 04/17
"
"153","다나와","IT/웹/통신",3.2,"(주)다나와 기업부설연구소 채용(개발/데이터/시스템관리)","데이터엔지니어백엔드/서버개발DBASE(시스템엔지니어)SI개발 외","신입 · 경력
학력무관","정규직
서울 양천구","입사지원
채용시
"
"154","파수","IT/웹/통신",3.2,"[경력] 웹프론트엔드&서버 개발","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"155","파수","IT/웹/통신",3.2,"[경력] SW 컨설턴트(기술지원/AM) 부문별 모집","보안컨설팅정보보안IT컨설팅빅데이터솔루션 외","경력 3년↑
대학교(4년)↑","정규직
서울 마포구","채용 홈페이지
채용시
"
"156","파수","IT/웹/통신",3.2,"솔루션 엔지니어(해외 담당)","백엔드/서버개발웹개발NginxWindowsApache 외","4 ~ 7년
대학교(4년)↑","정규직
서울 마포구","입사지원
상시채용
"
"157","파수","IT/웹/통신",3.2,"서버 개발","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)C++ 외","3 ~ 12년
학력무관","정규직
서울 마포구","입사지원
상시채용
"
"158","엔라이튼","IT/웹/통신",3.2,"EPC PM / O&M 엔지니어 (경력)","PM(프로젝트매니저)전기설비전기시공품질관리기획 외","3 ~ 10년
학력무관","정규직
서울 서초구","입사지원
상시채용
"
"159","바이브컴퍼니","IT/웹/통신",3.1,"[바이브컴퍼니] 데이터 분석 솔루션 백엔드 엔지니어 모집","백엔드/서버개발솔루션HadoopHBaseJava 외","신입 · 경력
대학교(4년)↑","정규직
서울 용산구","입사지원
상시채용
"
"160","바이브컴퍼니","IT/웹/통신",3.1,"[바이브컴퍼니] 2022년 전문연구요원 상시채용","데이터엔지니어백엔드/서버개발딥러닝머신러닝모델링 외","경력무관
석사↑","정규직
서울 용산구","입사지원
상시채용
"
"161","웅진","기관/협회",3.1,"(주)웅진 태블로(Tableau) 엔지니어 경력 채용","데이터분석가데이터시각화솔루션DWR 외","경력 3년↑
학력무관","정규직
서울 중구","홈페이지 지원
~ 05/21
"
"162","케이티","IT/웹/통신",3.1,"2022년 KT 신입/인턴 채용","백엔드/서버개발보안컨설팅웹개발정보보안퍼블리셔 외","신입
대학교(4년)↑","정규직 · 인턴직
서울전체","홈페이지 지원
~ 04/11
"
"163","쿠팡","유통/무역/운송",3.1,"[쿠팡] Staff, 머신러닝 엔지니어","데이터분석가데이터마이닝딥러닝머신러닝빅데이터 외","경력무관
대학교(4년)↑","정규직
서울 송파구","채용 홈페이지
채용시
"
"164","쿠팡","유통/무역/운송",3.1,"[쿠팡플레이] Media Operations Engineer","영상처리엔터테인먼트영상자막영상제작영상편집 외","6 ~ 15년
대학(2,3년)↑","정규직
서울 송파구","입사지원
~ 04/16
"
"165","쿠팡","유통/무역/운송",3.1,"[쿠팡] Security Engineer(Architecture & Engineering Infra)","웹마스터정보보안QA/테스터APIWindows 외","7 ~ 20년
대학교(4년)↑","정규직
서울 송파구","홈페이지 지원
채용시
"
"166","굿모닝아이텍","IT/웹/통신",3.1,"굿모닝아이텍(주) PM & PL (경력) 엔지니어(신입,경력) 모집","기술지원네트워크H/WVMware빅데이터 외","신입 · 경력
대학(2,3년)↑","정규직
서울 마포구","입사지원
~ 04/23
"
"167","굿모닝아이텍","IT/웹/통신",3.1,"굿모닝아이텍(주) 가상화 (서버, 네트워크, 데스크탑) 엔지니어","백엔드/서버개발네트워크VDI기술지원유지보수 외","신입 · 경력
대학교(4년)↑","정규직
서울 마포구","입사지원
~ 04/15
"
"168","로버트월터스코리아","서비스업",3.1,"[IT/엔지니어] Devops Engineer","데이터엔지니어SE(시스템엔지니어)스크립트인프라클라우드 외","경력 2년↑
학력무관","정규직
서울 중구","입사지원
~ 05/08
"
"169","로버트월터스코리아","서비스업",3.1,"[IT/엔지니어] Algorithm Engineer","데이터엔지니어자산관리알고리즘C++R","경력 2년↑
학력무관","정규직
서울 중구","입사지원
채용시
"
"170","케이아이티밸리","IT/웹/통신",3.1,"국가연구개발사업 과제 수행 웹 개발자","백엔드/서버개발웹개발SE(시스템엔지니어)JavaLinux","5 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 04/30
"
"171","케이아이티밸리","IT/웹/통신",3.1,"데이터 분석 담당자","SE(시스템엔지니어)데이터마이닝데이터시각화빅데이터C언어 외","5년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30
"
"172","문화방송","미디어/디자인",3.1,"2022 MBC 상반기 경력사원 공개채용","신사업발굴투자전략투자심사펀드상품기획 외","경력 1년↑
학력무관","정규직
서울 마포구","홈페이지 지원
~ 04/13
"
"173","타임게이트","IT/웹/통신",3.1,"타임게이트-소프트웨어(모니터링 솔루션) 엔지니어모집","기술지원유지보수SE(시스템엔지니어)빅데이터APM 외","1 ~ 10년
대학교(4년)↑","정규직
서울 성동구","입사지원
~ 04/30
"
"174","타임게이트","IT/웹/통신",3.1,"타임게이트 - 빅데이터 플랫폼 구축 / Splunk","보안컨설팅정보보안머신러닝빅데이터Python 외","경력무관
대학교(4년)↑","정규직
서울 성동구","입사지원
~ 04/23
"
"175","리눅스데이타시스템","IT/웹/통신",3.1,"엔지니어 경력직채용 (PaaS/PHP개발)","SE(시스템엔지니어)LinuxPaaSPHP기술지원 외","경력 3년↑
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/27
"
"176","리눅스데이타시스템","IT/웹/통신",3.1,"PaaS 엔지니어(팀장급)","기술지원R","5 ~ 15년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"177","리눅스데이타시스템","IT/웹/통신",3.1,"리눅스 엔지니어 채용","기술지원SE(시스템엔지니어)LinuxR","1 ~ 3년
학력무관","정규직
서울전체","입사지원
상시채용
"
"178","에이티아이","제조/화학",3.1,"[에이티아이] 2022 상반기 채용 및 채용연계교육","백엔드/서버개발웹개발유지보수IT컨설팅SE(시스템엔지니어) 외","신입 · 경력
대학교(4년)↑","정규직 · 교육생
인천 연수구","입사지원
~ 04/18
"
"179","컨트롤웍스","제조/화학",3.1,"[컨트롤웍스] 시스템 테스트 엔지니어 채용 (신입/경력)","임베디드C언어LinuxMatlab","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/21
"
"180","펑타이그레이터차이나영업소","미디어/디자인",3.1,"[PTKOERA] 데이터 엔지니어 (계약)","데이터분석가데이터엔지니어데이터시각화임베디드리눅스기술지원 외","2 ~ 11년
대학교(4년)↑","계약직
서울 강남구","홈페이지 지원
~ 04/17
"
"181","혁산정보시스템","IT/웹/통신",3.1,"웹기획/웹사업(PM)/델파이개발/데이터 처리(오라클,MSSQL) 경력직 모집","기술지원데이터엔지니어유지보수SE(시스템엔지니어)솔루션 외","신입 · 경력
대학(2,3년)↑","정규직
서울 영등포구","입사지원
~ 04/20
"
"182","휴머스온","IT/웹/통신",3.1,"Technical Project Manager","웹개발DBASE(시스템엔지니어)JavaLinux 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"183","휴머스온","IT/웹/통신",3.1,"빅데이터 개발","웹개발프론트엔드SE(시스템엔지니어)검색엔진데이터마이닝 외","2 ~ 14년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"184","휴머스온","IT/웹/통신",3.1,"Application architect","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","6 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"185","휴머스온","IT/웹/통신",3.1,"데이터 엔지니어","데이터분석가데이터엔지니어웹개발SE(시스템엔지니어)검색엔진 외","3 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"186","휴머스온","IT/웹/통신",3.1,"솔루션 유지보수 개발","백엔드/서버개발웹개발SE(시스템엔지니어)WindowsJava 외","2 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"187","휴머스온","IT/웹/통신",3.1,"데이터 사이언티스트","데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02
"
"188","휴머스온","IT/웹/통신",3.1,"데이터엔지니어, 데이터 사이언티스트, 데이터 분석가 경력 모집","데이터분석가데이터마이닝데이터시각화빅데이터API 외","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01
"
"189","휴머스온","IT/웹/통신",3.1,"서비스 [개발/운영 엔지니어] [운영기획] [영업지원]","백엔드/서버개발웹개발APIJavaLinux 외","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01
"
"190","현대에이치디에스","IT/웹/통신",3.1,"현대HDS 경력직원 채용","백엔드/서버개발보안컨설팅앱개발웹개발웹마스터 외","경력
대학(2,3년)↑","정규직
서울 송파구","홈페이지 지원
~ 04/14
"
"191","키스템프그룹","서비스업",3.1,"[강남구/연4,000만] 유명기업 SW QA, SQA(웹/앱테스트/검증) 2명","게임개발기술지원데이터엔지니어보안컨설팅앱개발 외","경력 2년↑
고졸↑","정규직
서울 강남구
4,000만원","입사지원
~ 04/13
"
"192","키스템프그룹","서비스업",3.1,"JTBC 스포츠채널 편성/운행MD 채용[DMC/야간/신입가능]","사이트관리콘텐츠관리CS관리기상캐스터촬영감독 외","경력무관
학력무관","계약직 · 파견직
서울 마포구","입사지원
~ 04/12
"
"193","키스템프그룹","서비스업",3.1,"[서현역/신입가능] CJ올리브네트웍스 OTT 저작권 운영 사무 채","기술지원보안컨설팅유지보수정보보안네트워크 외","경력무관
학력무관","계약직 · 파견직
서울 마포구","입사지원
~ 04/11
"
"194","라티스글로벌커뮤니케이션스","IT/웹/통신",3.1,"[라티스글로벌] 게임 현지화 엔지니어 채용","기술지원데이터엔지니어SE(시스템엔지니어)데이터분석C++ 외","경력무관
대학교(4년)↑","정규직
서울 송파구","입사지원
~ 04/29
"
"195","라티스글로벌커뮤니케이션스","IT/웹/통신",3.1,"[라티스글로벌] SC 사업부 현지화 엔지니어 모집","기술지원데이터엔지니어QA/테스터빅데이터솔루션 외","경력무관
대학(2,3년)↑","정규직 · 계약직
서울 송파구","입사지원
~ 04/17
"
"196","이스트시큐리티","IT/웹/통신",3.1,"[ESTsecurity] 알약M 프로덕트 오너(PO)","데이터분석가데이터엔지니어보안컨설팅솔루션서비스기획 외","5 ~ 10년
대학교(4년)↑","정규직
서울 서초구","입사지원
~ 04/28
"
"197","굿어스","IT/웹/통신",3.1,"[평택] 네트워크 엔지니어 (경력 2년 이상)","SE(시스템엔지니어)네트워크기술지원유지보수정보통신 외","2 ~ 3년
대학교(4년)↑","정규직
서울 강남구","채용 홈페이지
~ 04/24
"
"198","굿어스","IT/웹/통신",3.1,"IT 보안 엔지니어 (경력 2년 이상) 채용","정보보안SE(시스템엔지니어)방화벽기술지원유지보수 외","경력 2년↑
대학(2,3년)↑","정규직
서울 강남구","채용 홈페이지
~ 04/17
"
"199","오티아이","IT/웹/통신",3.1,"오티아이㈜ 각 부문 신입 및 경력직 채용","네트워크IDCS/WAndroidiOS 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 서초구","입사지원
~ 04/17
"
"200","유니원아이앤씨","유통/무역/운송",3.1,"2022 상반기 IT인프라 UNIX, x86 엔지니어 경력&신입 채용","유지보수솔루션네트워크인프라VMware 외","신입 · 경력
대학교(4년)↑","정규직
서울 영등포구
3,000만원 (면접 후 협의)","입사지원
~ 04/14
"
"201","유니원아이앤씨","유통/무역/운송",3.1,"[팀장급 채용] 웹 풀스택 개발자","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","7 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"202","폴라리스오피스","IT/웹/통신",3.1,"[폴라리스오피스] HR, 기획, 개발 부문별 채용","게임개발데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
대학교(4년)↑","정규직
서울 금천구","홈페이지 지원
~ 04/17
"
"203","하이퍼커넥트","IT/웹/통신",3.1,"[하이퍼커넥트] Operation Specialist","서비스기획외주관리CX매니저기술상담통화품질분석 외","1 ~ 8년
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/17
"
"204","쉥커코리아","유통/무역/운송",3.1,"[쉥커코리아] 각 부문별 수시 채용","경영분석시장조사신사업기획신사업발굴실적관리 외","경력 1년↑
대학교(4년)↑","정규직
서울 마포구","입사지원
~ 04/29
"
"205","뉴링크","IT/웹/통신",3.1,"[뉴링크] DBA 담당자","웹개발DBASE(시스템엔지니어)DBMSRDBMS 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"206","시큐레이어","IT/웹/통신",3.1,"(주)시큐레이어 솔루션사업팀(서울,대전,광주)모집","정보보안SE(시스템엔지니어)기술지원네트워크솔루션 외","신입 · 경력
대학(2,3년)↑","정규직
서울 성동구","채용 홈페이지
~ 04/18
"
"207","메디트","의료/제약/복지",3,"[MEDIT] Ai 엔지니어","딥러닝머신러닝빅데이터S/WAI(인공지능) 외","경력무관
대학교(4년)↑","정규직
서울 영등포구","홈페이지 지원
~ 04/15
"
"208","코리아폴리스쿨","유통/무역/운송",3,"[코리아폴리스쿨] JAVA / DBA / 웹,앱 디자이너 / QA테스터 모집","백엔드/서버개발앱개발웹개발정보보안퍼블리셔 외","경력
학력무관","정규직
서울 송파구","입사지원
~ 04/13
"
"209","코리아폴리스쿨","유통/무역/운송",3,"[코리아폴리스쿨] 머신러닝 엔지니어(자연어 처리) 모집","데이터분석가백엔드/서버개발웹개발프론트엔드빅데이터 외","경력 1년↑
학력무관","정규직 · 계약직
서울 송파구","입사지원
~ 05/22
"
"210","코리아폴리스쿨","유통/무역/운송",3,"DBA 담당자","데이터엔지니어DBA데이터마이닝빅데이터DW 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"211","아데코코리아","서비스업",3,"[미국계/자율주행] SW QA Engineer","QA/테스터자율주행S/WAI(인공지능)Android 외","경력 3년↑
대학교(4년)↑","정규직
서울 성동구","입사지원
~ 05/08
"
"212","아데코코리아","서비스업",3,"IE Engineer (외국계기업)","건물관리자기계기사","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01
"
"213","펜타시큐리티시스템","IT/웹/통신",3,"금융사 인증보안제품 엔지니어(기술지원) 담당자 모집","기술지원보안컨설팅정보보안SE(시스템엔지니어)방화벽 외","1 ~ 10년
학력무관","정규직 · 계약직
서울 영등포구","입사지원
~ 04/17
"
"214","뉴로핏","IT/웹/통신",3,"[뇌영상AI선두기업] 각 분야별 모집 (연구분야)","데이터분석가데이터엔지니어데이터마이닝머신러닝빅데이터 외","경력무관
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 05/07
"
"215","뉴로핏","IT/웹/통신",3,"[뉴로핏] 의료영상 인공지능 엔지니어 모집","데이터분석가딥러닝머신러닝블록체인빅데이터 외","2 ~ 7년
석사↑","정규직
서울전체","입사지원
상시채용
"
"216","슈어소프트테크","IT/웹/통신",3,"슈어소프트테크(주) 2022년 상반기 경력직 대규모 채용","데이터엔지니어백엔드/서버개발보안컨설팅앱개발웹개발 외","경력
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/30
"
"217","슈어소프트테크","IT/웹/통신",3,"전력변환 제어기 개발","SE(시스템엔지니어)딥러닝머신러닝빅데이터알고리즘 외","2 ~ 7년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"218","사람인에이치알","IT/웹/통신",3,"SRE(Site Reliability Engineering) 엔지니어","백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","3 ~ 7년
학력무관","정규직
서울전체","홈페이지 지원
상시채용
"
"219","사람인에이치알","IT/웹/통신",3,"[AI LAB] 검색 서비스 설계 및 개발 연구원(석사 신입 가능)","데이터분석가데이터엔지니어웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","홈페이지 지원
~ 04/17
"
"220","사람인에이치알","IT/웹/통신",3,"[AI LAB] AI파트 연구원 채용 (경력)","데이터분석가웹개발SE(시스템엔지니어)검색엔진딥러닝 외","1 ~ 10년
대학교(4년)↑","정규직
서울전체","홈페이지 지원
~ 04/17
"
"221","사람인에이치알","IT/웹/통신",3,"JAVA 개발자 경력직","백엔드/서버개발웹개발SE(시스템엔지니어)검색엔진딥러닝 외","3 ~ 10년
학력무관","정규직
서울전체","홈페이지 지원
상시채용
"
"222","씨엔알리서치","서비스업",3,"[임상기업부설연구소] 채용","데이터분석가데이터엔지니어백엔드/서버개발프론트엔드딥러닝 외","경력 5년↑
대학교(4년)↑","정규직
서울 노원구","입사지원
채용시
"
"223","엠아이큐브솔루션","IT/웹/통신",3,"IT R&D과제 SW QA Test 담당자 모집","기술지원백엔드/서버개발유지보수IT컨설팅QA/테스터 외","3 ~ 15년
학력무관","정규직
서울 서초구","입사지원
~ 04/17
"
"224","농협정보시스템","IT/웹/통신",3,"[(주)농협정보시스템] 정규직(신입,경력)/계약직 직원 채용","백엔드/서버개발앱개발웹개발정보보안DBA 외","신입 · 경력
학력무관","정규직 · 계약직
서울전체","홈페이지 지원
~ 04/11
"
"225","바디프랜드","제조/화학",3,"개발PM","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","6 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"226","발란","유통/무역/운송",3,"프론트엔드 엔지니어 (3년 이상)","웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/19
"
"227","발란","유통/무역/운송",3,"데이터 엔지니어 (3년 이상)","백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/19
"
"228","발란","유통/무역/운송",3,"데이터 애널리스트 (5년 이상)","백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","5 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/19
"
"229","발란","유통/무역/운송",3,"보안 / 인프라 담당자","백엔드/서버개발보안컨설팅웹개발정보보안CISO 외","7 ~ 20년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/19
"
"230","발란","유통/무역/운송",3,"백엔드 엔지니어 (Node.js) (5년 이상)","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","5 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/19
"
"231","데상트코리아","유통/무역/운송",3,"각 부문별 경력사원 모집","IT컨설팅SE(시스템엔지니어)회계사재무기획재무회계 외","경력
대학(2,3년)↑","정규직
서울 송파구","홈페이지 지원
~ 04/30
"
"232","케이티디에스","IT/웹/통신",3,"[kt ds] 2022년 각 부문별 경력사원 수시채용","게임개발데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅 외","경력
학력무관","정규직 · 계약직
서울 서초구","홈페이지 지원
~ 12/31
"
"233","드림시스","IT/웹/통신",3,"Oracle GoldenGate 개발자 모집","데이터분석가데이터엔지니어웹개발DBA딥러닝 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
~ 05/06
"
"234","드림시스","IT/웹/통신",3,"리눅스 기반 Java 개발자","웹개발SE(시스템엔지니어)S/W.NETJava 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
~ 05/06
"
